rank,channel_info,country,rank_group,follower_band,engagement_band,insight_segment,influence_score,balanced_influencer_score,posts,followers,followers_m,avg_likes,avg_likes_m,new_post_avg_like,new_post_avg_like_m,total_likes,total_likes_b,recent_60_day_eng_rate,recent_60_day_eng_rate_pct,engagement_rate,engagement_rate_pct,recent_eng_rate_missing,followers_score_0_100,engagement_score_0_100,recent_eng_score_0_100,influence_score_0_100
1,cristiano,Spain,Top 10,Q4 팔로워 높음,Q3 반응 중상,일반 계정,92,61.55603355,3300,475800000,475.8,8700000,8.7,6500000,6.5,29000000000,29,0.0139,1.39,0.0182849937,1.828499369,False,100,5.038070435,5.263157895,98.5915493
2,kyliejenner,United States,Top 10,Q4 팔로워 높음,Q3 반응 중상,일반 계정,91,59.0707554,6900,366200000,366.2,8300000,8.3,5900000,5.9,57400000000,57.4,0.0162,1.62,0.0226652103,2.266521027,False,90.21083548,6.33542403,6.134040136,97.18309859
3,leomessi,None,Top 10,Q4 팔로워 높음,Q3 반응 중상,일반 계정,90,57.86293748,890,357300000,357.3,6800000,6.8,4400000,4.4,6000000000,6,0.0124,1.24,0.0190316261,1.903162608,False,89.29091654,5.259211605,4.695191215,95.77464789
4,selenagomez,United States,Top 10,Q4 팔로워 높음,Q3 반응 중상,일반 계정,93,58.72888372,1800,342700000,342.7,6200000,6.2,3300000,3.3,11500000000,11.5,0.0097,0.97,0.0180916253,1.809162533,False,87.73102651,4.980797663,3.672851193,100
5,therock,United States,Top 10,Q4 팔로워 높음,Q1 반응 낮음,일반 계정,91,56.1495502,6800,334100000,334.1,1900000,1.9,665300,0.6653,12500000000,12.5,0.002,0.2,0.00568692008,0.568692008,False,86.780777,1.30671245,0.757288906,97.18309859
6,kimkardashian,United States,Top 10,Q4 팔로워 높음,Q2 반응 중하,일반 계정,91,56.76381445,5600,329200000,329.2,3500000,3.5,2900000,2.9,19900000000,19.9,0.0088,0.88,0.0106318348,1.063183475,False,86.22835602,2.77132104,3.332071185,97.18309859
7,arianagrande,United States,Top 10,Q4 팔로워 높음,Q2 반응 중하,일반 계정,92,57.44462819,5000,327700000,327.7,3700000,3.7,3900000,3.9,18400000000,18.4,0.012,1.2,0.0112908148,1.129081477,False,86.05760279,2.966500909,4.543733434,98.5915493
8,beyonce,United States,Top 10,Q4 팔로워 높음,Q2 반응 중하,일반 계정,92,55.62191269,2000,272800000,272.8,3600000,3.6,2000000,2,7400000000,7.4,0.0076,0.76,0.0131964809,1.319648094,False,79.20193276,3.530930273,2.877697842,98.5915493
9,khloekardashian,United States,Top 10,Q4 팔로워 높음,Q2 반응 중하,일반 계정,89,53.43990747,4100,268300000,268.3,2400000,2.4,926900,0.9269,9800000000,9.8,0.0035,0.35,0.00894521059,0.894521059,False,78.58003188,2.271768589,1.325255585,94.36619718
10,justinbieber,Canada,Top 10,Q4 팔로워 높음,Q1 반응 낮음,일반 계정,91,53.95899336,7400,254500000,254.5,1900000,1.9,1500000,1.5,13900000000,13.9,0.0059,0.59,0.00746561886,0.746561886,False,76.60569806,1.833536002,2.234002272,97.18309859
11,kendalljenner,United States,11-50,Q4 팔로워 높음,Q3 반응 중상,일반 계정,90,55.3217671,660,254000000,254,5500000,5.5,5100000,5.1,3700000000,3.7,0.0204,2.04,0.0216535433,2.165354331,False,76.53216962,6.035783648,7.724346838,95.77464789
12,natgeo,United States,11-50,Q4 팔로워 높음,Q1 반응 낮음,팔로워 많음·평균 좋아요 낮음,91,52.53935853,10000,237000000,237,302200,0.3022,159300,0.1593,3000000000,3,0.0007,0.07,0.00127510549,0.127510549,False,73.94206541,0,0.265051117,97.18309859
13,nike,United States,11-50,Q4 팔로워 높음,Q1 반응 낮음,팔로워 많음·평균 좋아요 낮음,90,51.94664517,950,234100000,234.1,329000,0.329,181800,0.1818,313600000,0.3136,0.0008,0.08,0.00140538232,0.140538232,False,73.4817383,0.0385860176,0.302915562,95.77464789
14,taylorswift,United States,11-50,Q4 팔로워 높음,Q2 반응 중하,일반 계정,91,53.17587436,530,222200000,222.2,2400000,2.4,2300000,2.3,1300000000,1.3,0.0101,1.01,0.0108010801,1.080108011,False,71.53112509,2.821448943,3.824308974,97.18309859
15,jlo,United States,11-50,Q4 팔로워 높음,Q1 반응 낮음,일반 계정,89,51.6637806,3200,220400000,220.4,1700000,1.7,1400000,1.4,5300000000,5.3,0.0062,0.62,0.00771324864,0.771324864,False,71.22700882,1.906880179,2.347595608,94.36619718
16,virat.kohli,None,11-50,Q4 팔로워 높음,Q2 반응 중하,일반 계정,87,51.15141433,1400,211800000,211.8,3500000,3.5,2000000,2,4900000000,4.9,0.0096,0.96,0.0165250236,1.652502361,False,69.73885715,4.516794037,3.634986747,91.54929577
17,nickiminaj,United States,11-50,Q4 팔로워 높음,Q2 반응 중하,일반 계정,90,51.47240754,6400,201600000,201.6,2100000,2.1,1000000,1,13500000000,13.5,0.0053,0.53,0.0104166667,1.041666667,False,67.89344222,2.707591523,2.0068156,95.77464789
18,kourtneykardash,United States,11-50,Q4 팔로워 높음,Q2 반응 중하,일반 계정,89,50.66890165,4400,195200000,195.2,1800000,1.8,1300000,1.3,7700000000,7.7,0.0067,0.67,0.00922131148,0.922131148,False,66.68723436,2.353545478,2.536917834,94.36619718
19,mileycyrus,None,11-50,Q4 팔로워 높음,Q1 반응 낮음,일반 계정,89,49.74538848,1200,181500000,181.5,1300000,1.3,913600,0.9136,1600000000,1.6,0.0051,0.51,0.00716253444,0.716253444,False,63.96645885,1.743767,1.93108671,94.36619718
20,neymarjr,Brazil,11-50,Q4 팔로워 높음,Q2 반응 중하,일반 계정,90,50.93689586,5300,177100000,177.1,2700000,2.7,1900000,1.9,14100000000,14.1,0.0109,1.09,0.0152456239,1.524562394,False,63.0488864,4.137855295,4.127224536,95.77464789
21,katyperry,None,11-50,Q4 팔로워 높음,Q1 반응 낮음,일반 계정,92,50.21062836,2000,170300000,170.3,715000,0.715,265100,0.2651,1500000000,1.5,0.0016,0.16,0.00419847328,0.419847328,False,61.58498862,0.865857123,0.605831125,98.5915493
22,kevinhart4real,United States,11-50,Q4 팔로워 높음,Q1 반응 낮음,일반 계정,88,47.07415823,8200,152000000,152,522000,0.522,115200,0.1152,4300000000,4.3,0.0008,0.08,0.00343421053,0.343421053,False,57.33454439,0.639494107,0.302915562,92.95774648
23,zendaya,United States,11-50,Q4 팔로워 높음,Q4 반응 높음,일반 계정,87,50.85146006,3500,150700000,150.7,5800000,5.8,4800000,4.8,20600000000,20.6,0.0317,3.17,0.0384870604,3.848706038,False,57.01339302,11.02161563,12.00302916,91.54929577
24,iamcardib,United States,11-50,Q4 팔로워 높음,Q3 반응 중상,일반 계정,75,41.88912245,1600,140500000,140.5,3100000,3.1,1500000,1.5,5000000000,5,0.011,1.1,0.0220640569,2.206405694,False,54.3930226,6.157371549,4.165088981,74.64788732
25,ddlovato,United States,11-50,Q4 팔로워 높음,Q1 반응 낮음,일반 계정,88,46.68434957,80,139100000,139.1,1100000,1.1,363400,0.3634,91300000,0.0913,0.0027,0.27,0.00790797987,0.790797987,False,54.01859257,1.964556611,1.022340023,92.95774648
26,badgalriri,United States,11-50,Q4 팔로워 높음,Q3 반응 중상,일반 계정,88,47.72280983,4800,135300000,135.3,3700000,3.7,0,0,17900000000,17.9,0.0002,0.02,0.0273466371,2.73466371,False,52.98296541,7.721991528,0.0757288906,92.95774648
27,kingjames,None,11-50,Q4 팔로워 높음,Q2 반응 중하,일반 계정,86,46.10202692,2300,130900000,130.9,2100000,2.1,1200000,1.2,4900000000,4.9,0.0092,0.92,0.0160427807,1.604278075,False,51.74684619,4.37396103,3.483528966,90.14084507
28,theellenshow,United States,11-50,Q4 팔로워 높음,Q1 반응 낮음,팔로워 많음·평균 좋아요 낮음,87,44.74957629,10000,125100000,125.1,420500,0.4205,81700,0.0817,4200000000,4.2,0.0007,0.07,0.00336131095,0.336131095,False,50.05235806,0.617902361,0.265051117,91.54929577
29,realmadrid,Spain,11-50,Q4 팔로워 높음,Q1 반응 낮음,일반 계정,90,46.68230101,6900,123400000,123.4,996200,0.9962,588300,0.5883,6800000000,6.8,0.0048,0.48,0.00807293355,0.807293355,False,49.54078758,2.013413385,1.817493374,95.77464789
30,champagnepapi,Netherlands,11-50,Q4 팔로워 높음,Q2 반응 중하,일반 계정,85,44.73201035,5200,119600000,119.6,1700000,1.7,1300000,1.3,9000000000,9,0.011,1.1,0.0142140468,1.421404682,False,48.37131806,3.832317827,4.165088981,88.73239437
31,chrisbrownofficial,United States,11-50,Q4 팔로워 높음,Q1 반응 낮음,팔로워 많음·평균 좋아요 낮음,86,43.87572959,7300,118500000,118.5,463200,0.4632,255900,0.2559,3400000000,3.4,0.0022,0.22,0.00390886076,0.390886076,False,48.0258463,0.780078294,0.833017796,90.14084507
32,fcbarcelona,None,11-50,Q4 팔로워 높음,Q2 반응 중하,일반 계정,90,46.01676658,10000,111400000,111.4,1200000,1.2,706300,0.7063,11600000000,11.6,0.0064,0.64,0.0107719928,1.077199282,False,45.71573087,2.81283373,2.423324498,95.77464789
33,billieeilish,None,11-50,Q4 팔로워 높음,Q4 반응 높음,참여율 상위 10%,73,44.77411021,690,105200000,105.2,8500000,8.5,5200000,5.2,5900000000,5.9,0.0502,5.02,0.0807984791,8.079847909,False,43.57467466,23.55361496,19.00795153,71.83098592
34,dualipa,United Kingdom,11-50,Q4 팔로워 높음,Q3 반응 중상,일반 계정,74,37.06439674,1300,85900000,85.9,2100000,2.1,1100000,1.1,2600000000,2.6,0.0126,1.26,0.0244470314,2.444703143,False,35.99665125,6.863172386,4.770920106,73.23943662
35,gal_gadot,United States,11-50,Q4 팔로워 높음,Q2 반응 중하,일반 계정,85,41.53131518,1700,85600000,85.6,1400000,1.4,586500,0.5865,2300000000,2.3,0.0069,0.69,0.0163551402,1.635514019,False,35.86584341,4.466477149,2.612646725,88.73239437
